fdic_cert_number,quarter_end_date,bank_id,is_event_quarter,distress_within_4q,event_reason
14,2017-03-31,stt,0,0,
14,2017-06-30,stt,0,0,
14,2017-09-30,stt,0,0,
14,2017-12-31,stt,0,0,
14,2018-03-31,stt,0,1,
14,2018-06-30,stt,0,1,
14,2018-09-30,stt,0,1,
14,2018-12-31,stt,0,1,
14,2019-03-31,stt,1,0,deposit_outflow
14,2019-06-30,stt,0,1,
14,2019-09-30,stt,0,1,
14,2019-12-31,stt,0,1,
14,2020-03-31,stt,0,1,
14,2020-06-30,stt,1,0,deposit_outflow
14,2020-09-30,stt,0,0,
14,2020-12-31,stt,0,0,
14,2021-03-31,stt,0,0,
14,2021-06-30,stt,0,0,
14,2021-09-30,stt,0,0,
14,2021-12-31,stt,0,0,
14,2022-03-31,stt,0,0,
14,2022-06-30,stt,0,0,
14,2022-09-30,stt,0,0,
14,2022-12-31,stt,0,0,
14,2023-03-31,stt,0,0,
14,2023-06-30,stt,0,0,
14,2023-09-30,stt,0,0,
14,2023-12-31,stt,0,0,
14,2024-03-31,stt,0,0,
14,2024-06-30,stt,0,0,
14,2024-09-30,stt,0,0,
14,2024-12-31,stt,0,0,
14,2025-03-31,stt,0,0,
110,2017-03-31,ozk,0,0,
110,2017-06-30,ozk,0,0,
110,2017-09-30,ozk,0,0,
110,2017-12-31,ozk,0,0,
110,2018-03-31,ozk,0,0,
110,2018-06-30,ozk,0,0,
110,2018-09-30,ozk,0,0,
110,2018-12-31,ozk,0,0,
110,2019-03-31,ozk,0,0,
110,2019-06-30,ozk,0,0,
110,2019-09-30,ozk,0,0,
110,2019-12-31,ozk,0,0,
110,2020-03-31,ozk,0,0,
110,2020-06-30,ozk,0,0,
110,2020-09-30,ozk,0,0,
110,2020-12-31,ozk,0,0,
110,2021-03-31,ozk,0,0,
110,2021-06-30,ozk,0,0,
110,2021-09-30,ozk,0,0,
110,2021-12-31,ozk,0,0,
110,2022-03-31,ozk,0,0,
110,2022-06-30,ozk,0,0,
110,2022-09-30,ozk,0,0,
110,2022-12-31,ozk,0,0,
110,2023-03-31,ozk,0,0,
110,2023-06-30,ozk,0,0,
110,2023-09-30,ozk,0,0,
