fdic_cert_number,quarter_end_date,risk_score,model_version
14,2021-12-31,0.6577039152155635,gp50_fixed_v1
35,2021-12-31,0.12567129023875623,gp50_fixed_v1
39,2021-12-31,0.09464594422047412,gp50_fixed_v1
41,2021-12-31,0.4403339865249478,gp50_fixed_v1
46,2021-12-31,0.150401378695733,gp50_fixed_v1
49,2021-12-31,0.5539385737810676,gp50_fixed_v1
50,2021-12-31,0.21568169401598425,gp50_fixed_v1
51,2021-12-31,0.20554695984515092,gp50_fixed_v1
52,2021-12-31,0.2667573639947136,gp50_fixed_v1
54,2021-12-31,0.16408820018830284,gp50_fixed_v1
58,2021-12-31,0.20249306360767605,gp50_fixed_v1
70,2021-12-31,0.5178850897765912,gp50_fixed_v1
72,2021-12-31,0.08751423156934379,gp50_fixed_v1
77,2021-12-31,0.08915066322640541,gp50_fixed_v1
81,2021-12-31,0.524881242414672,gp50_fixed_v1
88,2021-12-31,0.1452221013792041,gp50_fixed_v1
89,2021-12-31,0.0846810841368324,gp50_fixed_v1
90,2021-12-31,0.35123172664384583,gp50_fixed_v1
93,2021-12-31,0.22350013208654218,gp50_fixed_v1
94,2021-12-31,0.35335240761054365,gp50_fixed_v1
99,2021-12-31,0.1847256286331458,gp50_fixed_v1
105,2021-12-31,0.3913468184724991,gp50_fixed_v1
107,2021-12-31,0.6160691700192729,gp50_fixed_v1
109,2021-12-31,0.40422984237585524,gp50_fixed_v1
110,2021-12-31,0.3264270335205879,gp50_fixed_v1
131,2021-12-31,0.07108465550891196,gp50_fixed_v1
147,2021-12-31,0.20215672540734886,gp50_fixed_v1
148,2021-12-31,0.19390042578243083,gp50_fixed_v1
149,2021-12-31,0.7186071561640119,gp50_fixed_v1
155,2021-12-31,0.2597195316814691,gp50_fixed_v1
160,2021-12-31,0.4336425096351775,gp50_fixed_v1
169,2021-12-31,0.30822145433154446,gp50_fixed_v1
170,2021-12-31,0.20879129253955853,gp50_fixed_v1
172,2021-12-31,0.4602377699502824,gp50_fixed_v1
175,2021-12-31,0.23349340366735305,gp50_fixed_v1
178,2021-12-31,0.5777876883871897,gp50_fixed_v1
183,2021-12-31,0.21592288746433042,gp50_fixed_v1
197,2021-12-31,0.19267824607857165,gp50_fixed_v1
210,2021-12-31,0.16375693945508374,gp50_fixed_v1
214,2021-12-31,0.3518539099122222,gp50_fixed_v1
223,2021-12-31,0.5524304414676919,gp50_fixed_v1
225,2021-12-31,0.5317874508894747,gp50_fixed_v1
226,2021-12-31,0.2100461293752005,gp50_fixed_v1
228,2021-12-31,0.3416177017652444,gp50_fixed_v1
230,2021-12-31,0.4202567296701716,gp50_fixed_v1
231,2021-12-31,0.14660339749457307,gp50_fixed_v1
232,2021-12-31,0.7895649140198202,gp50_fixed_v1
234,2021-12-31,0.3970401113772368,gp50_fixed_v1
235,2021-12-31,0.36937611235936174,gp50_fixed_v1
245,2021-12-31,0.21889172184557992,gp50_fixed_v1
248,2021-12-31,0.24143216759506458,gp50_fixed_v1
251,2021-12-31,0.33451050324765674,gp50_fixed_v1
252,2021-12-31,0.7301728571939066,gp50_fixed_v1
253,2021-12-31,0.09505292088124406,gp50_fixed_v1
254,2021-12-31,0.24345671278939562,gp50_fixed_v1
258,2021-12-31,0.08073359020738735,gp50_fixed_v1
262,2021-12-31,0.08211010949287356,gp50_fixed_v1
267,2021-12-31,0.19528026480440985,gp50_fixed_v1
275,2021-12-31,0.12643324371731524,gp50_fixed_v1
281,2021-12-31,0.23843304237010443,gp50_fixed_v1
284,2021-12-31,0.20934794079425956,gp50_fixed_v1
287,2021-12-31,0.2034157094172997,gp50_fixed_v1
288,2021-12-31,0.35173367278201795,gp50_fixed_v1
289,2021-12-31,0.45441563162063403,gp50_fixed_v1
291,2021-12-31,0.21901391793699077,gp50_fixed_v1
292,2021-12-31,0.17878709248964242,gp50_fixed_v1
296,2021-12-31,0.22866814126530244,gp50_fixed_v1
297,2021-12-31,0.10177152568041947,gp50_fixed_v1
303,2021-12-31,0.22847923658736136,gp50_fixed_v1
304,2021-12-31,0.44598378205817824,gp50_fixed_v1
306,2021-12-31,0.23865121086561203,gp50_fixed_v1
307,2021-12-31,0.249381220633893,gp50_fixed_v1
314,2021-12-31,0.5529246661981233,gp50_fixed_v1
321,2021-12-31,0.44515005573471456,gp50_fixed_v1
324,2021-12-31,0.1815412076236953,gp50_fixed_v1
327,2021-12-31,0.22588376351154693,gp50_fixed_v1
340,2021-12-31,0.28635741545610927,gp50_fixed_v1
342,2021-12-31,0.07963367705883684,gp50_fixed_v1
352,2021-12-31,0.7430033748443634,gp50_fixed_v1
358,2021-12-31,0.6981641583427631,gp50_fixed_v1
363,2021-12-31,0.08312181305268496,gp50_fixed_v1
384,2021-12-31,0.08349237389711561,gp50_fixed_v1
389,2021-12-31,0.11243471793147819,gp50_fixed_v1
399,2021-12-31,0.5163076852600526,gp50_fixed_v1
402,2021-12-31,0.06399571286681294,gp50_fixed_v1
404,2021-12-31,0.34800125658694014,gp50_fixed_v1
406,2021-12-31,0.7725354556703223,gp50_fixed_v1
414,2021-12-31,0.46929522507715404,gp50_fixed_v1
418,2021-12-31,0.6126304289024063,gp50_fixed_v1
420,2021-12-31,0.664618023866069,gp50_fixed_v1
421,2021-12-31,0.4023738307185454,gp50_fixed_v1
428,2021-12-31,0.30535300637154705,gp50_fixed_v1
432,2021-12-31,0.18508718910015887,gp50_fixed_v1
444,2021-12-31,0.05604732792096456,gp50_fixed_v1
445,2021-12-31,0.242664166508348,gp50_fixed_v1
485,2021-12-31,0.20905774200014093,gp50_fixed_v1
492,2021-12-31,0.637648170786008,gp50_fixed_v1
496,2021-12-31,0.16285357426727387,gp50_fixed_v1
501,2021-12-31,0.5144844223831662,gp50_fixed_v1
504,2021-12-31,0.349706194163673,gp50_fixed_v1
505,2021-12-31,0.6224553184723618,gp50_fixed_v1
526,2021-12-31,0.5976987650475394,gp50_fixed_v1
529,2021-12-31,0.23540299317068047,gp50_fixed_v1
588,2021-12-31,0.32404754987470596,gp50_fixed_v1
597,2021-12-31,0.1042800429104318,gp50_fixed_v1
609,2021-12-31,0.09586749922812032,gp50_fixed_v1
618,2021-12-31,0.5557139689719008,gp50_fixed_v1
622,2021-12-31,0.5072352836257075,gp50_fixed_v1
623,2021-12-31,0.8793138728512986,gp50_fixed_v1
628,2021-12-31,0.352467361364063,gp50_fixed_v1
639,2021-12-31,0.6447333808685016,gp50_fixed_v1
659,2021-12-31,0.1075348043179929,gp50_fixed_v1
660,2021-12-31,0.12485191525104256,gp50_fixed_v1
686,2021-12-31,0.04695714109504934,gp50_fixed_v1
698,2021-12-31,0.08654026533235992,gp50_fixed_v1
713,2021-12-31,0.04337202197370971,gp50_fixed_v1
737,2021-12-31,0.09931624575960996,gp50_fixed_v1
741,2021-12-31,0.17178769930035287,gp50_fixed_v1
763,2021-12-31,0.2882798026457749,gp50_fixed_v1
769,2021-12-31,0.08746481406365092,gp50_fixed_v1
803,2021-12-31,0.03293315609755609,gp50_fixed_v1
823,2021-12-31,0.0843568352092916,gp50_fixed_v1
845,2021-12-31,0.2368583999586349,gp50_fixed_v1
847,2021-12-31,0.16237178027370192,gp50_fixed_v1
855,2021-12-31,0.6505722901691229,gp50_fixed_v1
861,2021-12-31,0.32928924622029854,gp50_fixed_v1
872,2021-12-31,0.4407330679245973,gp50_fixed_v1
873,2021-12-31,0.18223708646291925,gp50_fixed_v1
876,2021-12-31,0.6656972915642427,gp50_fixed_v1
877,2021-12-31,0.7152435960349521,gp50_fixed_v1
879,2021-12-31,0.3695317053895053,gp50_fixed_v1
889,2021-12-31,0.12482599476834366,gp50_fixed_v1
893,2021-12-31,0.1058499614135826,gp50_fixed_v1
898,2021-12-31,0.22668943944887587,gp50_fixed_v1
899,2021-12-31,0.6385801428146749,gp50_fixed_v1
902,2021-12-31,0.456321843240616,gp50_fixed_v1
903,2021-12-31,0.9386646575009081,gp50_fixed_v1
913,2021-12-31,0.687493845296558,gp50_fixed_v1
920,2021-12-31,0.553808565997798,gp50_fixed_v1
925,2021-12-31,0.2575831284824517,gp50_fixed_v1
926,2021-12-31,0.41648162049520465,gp50_fixed_v1
931,2021-12-31,0.508521529909487,gp50_fixed_v1
938,2021-12-31,0.45445855401945323,gp50_fixed_v1
939,2021-12-31,0.36080383825679974,gp50_fixed_v1
950,2021-12-31,0.2749397378318008,gp50_fixed_v1
951,2021-12-31,0.3087681660883277,gp50_fixed_v1
953,2021-12-31,0.22587786508051977,gp50_fixed_v1
954,2021-12-31,0.17285203022288442,gp50_fixed_v1
955,2021-12-31,0.08968296449563695,gp50_fixed_v1
956,2021-12-31,0.23188352422499747,gp50_fixed_v1
958,2021-12-31,0.1734984745513657,gp50_fixed_v1
961,2021-12-31,0.31287390089255496,gp50_fixed_v1
963,2021-12-31,0.290129167737291,gp50_fixed_v1
966,2021-12-31,0.3806304050230267,gp50_fixed_v1
968,2021-12-31,0.5251614120189103,gp50_fixed_v1
969,2021-12-31,0.22205353866354471,gp50_fixed_v1
976,2021-12-31,0.3059430779157424,gp50_fixed_v1
977,2021-12-31,0.1543973959817322,gp50_fixed_v1
982,2021-12-31,0.24174351274024275,gp50_fixed_v1
983,2021-12-31,0.4166534315336037,gp50_fixed_v1
999,2021-12-31,0.7762545325043675,gp50_fixed_v1
