bank_id,quarter_end_date,fdic_cert_number,n_scored,n_negative,n_positive,neg_share,pos_share,mean_p_negative,mean_p_positive,threshold,model_version
abcb,2020-03-31,20504,22,0,9,0.0,0.4091,0.0179,0.3686,0.5,finbert-ft-2026-08-09
abcb,2020-06-30,20504,20,0,10,0.0,0.5,0.0121,0.4865,0.5,finbert-ft-2026-08-09
abcb,2020-09-30,20504,28,0,19,0.0,0.6786,0.0139,0.6132,0.5,finbert-ft-2026-08-09
abcb,2020-12-31,20504,7,0,3,0.0,0.4286,0.0078,0.3849,0.5,finbert-ft-2026-08-09
abcb,2021-03-31,20504,13,0,8,0.0,0.6154,0.014,0.519,0.5,finbert-ft-2026-08-09
abcb,2021-06-30,20504,22,0,11,0.0,0.5,0.0108,0.4851,0.5,finbert-ft-2026-08-09
abcb,2021-09-30,20504,11,0,6,0.0,0.5455,0.0168,0.5463,0.5,finbert-ft-2026-08-09
abcb,2021-12-31,20504,11,0,9,0.0,0.8182,0.0154,0.7806,0.5,finbert-ft-2026-08-09
abcb,2022-03-31,20504,21,2,8,0.0952,0.381,0.094,0.4327,0.5,finbert-ft-2026-08-09
abcb,2022-06-30,20504,30,1,16,0.0333,0.5333,0.0391,0.4907,0.5,finbert-ft-2026-08-09
abcb,2022-09-30,20504,19,1,5,0.0526,0.2632,0.0624,0.3274,0.5,finbert-ft-2026-08-09
abcb,2022-12-31,20504,7,0,3,0.0,0.4286,0.0174,0.452,0.5,finbert-ft-2026-08-09
abcb,2023-03-31,20504,16,1,5,0.0625,0.3125,0.0953,0.377,0.5,finbert-ft-2026-08-09
abcb,2023-06-30,20504,60,5,13,0.0833,0.2167,0.0949,0.2087,0.5,finbert-ft-2026-08-09
abcb,2023-09-30,20504,33,1,6,0.0303,0.1818,0.0407,0.2283,0.5,finbert-ft-2026-08-09
abcb,2023-12-31,20504,85,2,53,0.0235,0.6235,0.0918,0.5899,0.5,finbert-ft-2026-08-09
abcb,2024-03-31,20504,47,0,15,0.0,0.3191,0.0169,0.3653,0.5,finbert-ft-2026-08-09
abcb,2024-06-30,20504,49,1,15,0.0204,0.3061,0.0393,0.3503,0.5,finbert-ft-2026-08-09
abcb,2024-09-30,20504,61,0,18,0.0,0.2951,0.0175,0.3008,0.5,finbert-ft-2026-08-09
