fdic_cert_number,quarter_end_date,bank_id,distress_prob,score,band,score_lo_80,score_hi_80,score_lo_95,score_hi_95,latent_mean,latent_var,n_missing_features,model_version,config_version,computed_at
628,2025-03-31,jpm,0.0323,96.8,sound,93.4,98.5,90.4,99.0,-3.4,0.35,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
628,2025-06-30,jpm,0.0293,97.1,sound,93.9,98.6,91.2,99.1,-3.5,0.35,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
628,2025-09-30,jpm,0.0356,96.4,sound,92.7,98.3,89.5,98.9,-3.3,0.35,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
628,2025-12-31,jpm,0.0266,97.3,sound,94.5,98.7,92.0,99.2,-3.6,0.35,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
628,2026-03-31,jpm,0.0293,97.1,sound,93.9,98.6,91.2,99.1,-3.5,0.35,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
3511,2025-03-31,wfc,0.0474,95.3,sound,89.9,97.8,85.3,98.6,-3.0,0.4,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
3511,2025-06-30,wfc,0.0691,93.1,sound,85.7,96.8,79.6,97.9,-2.6,0.4,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
3511,2025-09-30,wfc,0.1091,89.1,neutral,78.4,94.8,70.3,96.6,-2.1,0.4,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
3511,2025-12-31,wfc,0.1545,84.6,neutral,70.9,92.5,61.3,95.0,-1.7,0.4,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
3511,2026-03-31,wfc,0.19,81.0,neutral,65.5,90.6,55.2,93.6,-1.45,0.4,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
57512,2025-03-31,wal,0.1301,87.0,neutral,72.1,94.5,61.0,96.6,-1.9,0.55,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
57512,2025-06-30,wal,0.1978,80.2,neutral,61.1,91.3,48.7,94.6,-1.4,0.55,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
57512,2025-09-30,wal,0.31,69.0,distress,46.2,85.2,34.2,90.5,-0.8,0.55,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
57512,2025-12-31,wal,0.4502,55.0,distress,32.1,76.0,22.2,83.9,-0.2,0.55,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
57512,2026-03-31,wal,0.5866,41.3,distress,21.4,64.6,14.1,75.1,0.35,0.55,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
2270,2025-03-31,zion,0.1545,84.6,neutral,69.9,92.8,59.5,95.3,-1.7,0.45,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
2270,2025-06-30,zion,0.1824,81.8,neutral,65.5,91.4,54.6,94.3,-1.5,0.45,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
2270,2025-09-30,zion,0.168,83.2,neutral,67.7,92.1,57.1,94.9,-1.6,0.45,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
2270,2025-12-31,zion,0.2142,78.6,distress,60.8,89.7,49.6,93.2,-1.3,0.45,0,gpc-mock-0.1,index/config/v0.1.yaml,2026-07-31T12:00:00Z
