fdic_cert_number,rssd_id,bank_name,city,state,active_status,total_assets,charter_type,established_date,last_updated
14,35301,State Street Bank and Trust Company,Boston,MA,True,386546000,0,1792-01-01,2026-07-10
35,749635,AuburnBank,Auburn,AL,True,1026359,0,1907-01-03,2026-07-10
40,,EAST GADSDEN BANK,GADSDEN,,False,,,,2026-07-10
55,,THE COMMERCIAL BANK,ANDALUSIA,,False,,,,2026-07-10
58,994435,United Bank,Atmore,AL,True,1452054,0,1904-01-04,2026-07-10
76,,THE PEOPLES BANK,COLLINSVILLE,,False,,,,2026-07-10
88,329345,Generations Bank,Rogers,AR,True,1072055,0,1907-10-08,2026-07-10
89,3350724,Signature Bank of Arkansas,Fayetteville,AR,True,1628308,0,1933-08-18,2026-07-10
91,,ALLIED BANK,MULBERRY,,False,,,,2026-07-10
110,107244,Bank OZK,Little Rock,AR,True,41663976,0,1903-03-03,2026-07-10
131,34537,Seacoast National Bank,Stuart,FL,True,21134120,14838,1933-01-01,2026-07-10
143,,CARIBANK,DANIA,,False,,,,2026-07-10
151,,HABERSHAM BANK,CLARKESVILLE,,False,,,,2026-07-10
172,37435,United Bank,Zebulon,GA,True,2216638,0,1905-01-31,2026-07-10
182,,THE PEOPLES BANK,WINDER,,False,,,,2026-07-10
193,,HERITAGE BANK,HINESVILLE,GA,,1004001,,,2026-07-10
228,735441,American State Bank,Sioux Center,IA,True,1458577,0,1913-09-01,2026-07-10
233,,OAKLAND SAVINGS BANK,OAKLAND,,False,,,,2026-07-10
253,674849,Luana Savings Bank,Luana,IA,True,2198462,0,1908-08-01,2026-07-10
257,,COMMERCIAL STATE BANK,POCAHONTAS,,False,,,,2026-07-10
258,317342,Stock Yards Bank & Trust Company,Louisville,KY,True,9457499,0,1904-06-01,2026-07-10
287,698144,Community Financial Services Bank,Benton,KY,True,1370973,0,1890-01-01,2026-07-10
292,266945,The Monticello Banking Company,Monticello,KY,True,1094102,0,1895-01-01,2026-07-10
317,,BANK OF OAK GROVE,OAK GROVE,,False,,,,2026-07-10
338,,BANK OF FALKNER,FALKNER,,False,,,,2026-07-10
354,,FIRST SECURITY BANK OF GLENDIVE,GLENDIVE,,False,,,,2026-07-10
384,498317,The Ohio Valley Bank Company,Gallipolis,OH,True,1663062,0,1872-01-01,2026-07-10
401,,THE FIRST STATE BANK,WILLOW,,False,,,,2026-07-10
411,,UNITED OKLAHOMA BANK,OKLAHOMA CITY,,False,,,,2026-07-10
415,,FIRST STATE BANK,FOSS,,False,,,,2026-07-10
416,,FIRST CAPITAL BANK,KINGFISHER,,False,,,,2026-07-10
425,,THE CITIZENS BANK,DRUMRIGHT,,False,,,,2026-07-10
431,,THE BANK OF RED OAK,RED OAK,,False,,,,2026-07-10
433,,SECURITY STATE BANK,ROOSEVELT,,False,,,,2026-07-10
497,,MARSHALL COUNTY BANK,BRITTON,,False,,,,2026-07-10
506,,FIRST STATE BANK OF SISSETON,SISSETON,,False,,,,2026-07-10
513,,SUMMIT BANK,BURLINGTON,,False,,,,2026-07-10
520,,JACKSON STATE BANK,JACKSON,WY,,1476523,,,2026-07-10
525,,SARATOGA STATE BANK,SARATOGA,,False,,,,2026-07-10
588,501105,Manufacturers and Traders Trust Company,Buffalo,NY,True,214201000,0,1856-01-01,2026-07-10
597,884303,Chemung Canal Trust Company,Elmira,NY,True,2748374,0,1833-10-22,2026-07-10
609,433608,Tompkins Community Bank,Ithaca,NY,True,8696575,0,1934-01-01,2026-07-10
622,661308,Amalgamated Bank,New York,NY,True,9168378,0,1923-04-14,2026-07-10
623,214807,Deutsche Bank Trust Company Americas,New York,NY,True,39745000,0,1903-03-30,2026-07-10
628,852218,"JPMorgan Chase Bank, National Association",Columbus,OH,True,4016571000,8,1824-01-01,2026-07-10
638,,AMERICAN BANK & TRUST COMPANY,NEW YORK,,False,,,,2026-07-10
639,541101,The Bank of New York Mellon,New York,NY,True,467349000,0,1851-01-01,2026-07-10
659,601416,Five Star Bank,Rochester,NY,True,6255437,0,1881-12-26,2026-07-10
660,645317,The Adirondack Trust Company,Saratoga Springs,NY,True,1763293,0,1901-01-01,2026-07-10
664,,BANK OF SMITHTOWN,SMITHTOWN,NY,,2276313,,,2026-07-10
679,,PNC BANK DELAWARE,WILMINGTON,DE,,3169706,,,2026-07-10
