fdic_cert_number,failure_date,bank_name,city,state,acquiring_institution,event_type,distress_label
25796,2026-05-01,COMMUNITY BANK AND TRUST - WEST GEORGIA,LAGRANGE,,,failure,1
57488,2026-01-30,METROPOLITAN CAPITAL B&T,CHICAGO,,,failure,1
5520,2025-06-27,SANTA ANNA NATIONAL BANK,SANTA ANNA,,,failure,1
28611,2025-01-17,PULASKI SAVINGS BANK,CHICAGO,,,failure,1
4134,2024-10-18,FIRST NB OF LINDSAY,LINDSAY,,,failure,1
27332,2024-04-26,REPUBLIC BANK,PHILADELPHIA,,,failure,1
8758,2023-11-03,CITIZENS BANK,SAC CITY,,,failure,1
25851,2023-07-28,HEARTLAND TRI-STATE BANK,ELKHART,,,failure,1
59017,2023-05-01,FIRST REPUBLIC BANK,SAN FRANCISCO,,,failure,1
57053,2023-03-12,SIGNATURE BANK,NEW YORK,,,failure,1
24735,2023-03-10,SILICON VALLEY BANK,SANTA CLARA,,,failure,1
15426,2020-10-23,ALMENA STATE BANK,ALMENA,,,failure,1
16748,2020-10-16,FIRST CITY BANK OF FLORIDA,FORT WALTON BEACH,,,failure,1
14361,2020-04-03,THE FIRST STATE BANK,BARBOURSVILLE,,,failure,1
18265,2020-02-14,ERICSON STATE BANK,ERICSON,,,failure,1
21111,2019-11-01,CITY NATIONAL BANK OF NEW JERSEY,NEWARK,,,failure,1
58112,2019-10-25,LOUISA COMMUNITY BANK,LOUISA,,,failure,1
58317,2019-10-25,RESOLUTE BANK,MAUMEE,,,failure,1
10716,2019-05-31,ENLOE STATE BANK,COOPER,,,failure,1
30570,2017-12-15,WASHINGTON FEDERAL BANK FOR SAVINGS,CHICAGO,,,failure,1
17719,2017-10-13,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,ARGONIA,,,failure,1
1802,2017-05-26,FAYETTE COUNTY BANK,SAINT ELMO,,,failure,1
30003,2017-05-05,GUARANTY BANK,MILWAUKEE,,,failure,1
58302,2017-04-28,FIRST NBC BANK,NEW ORLEANS,,,failure,1
35495,2017-03-03,PROFICIO BANK,COTTONWOOD HEIGHTS,,,failure,1
19328,2017-01-27,SEAWAY BANK AND TRUST COMPANY,CHICAGO,,,failure,1
34951,2017-01-13,HARVEST COMMUNITY BANK,PENNSVILLE,,,failure,1
91,2016-09-23,ALLIED BANK,MULBERRY,,,failure,1
11297,2016-08-19,THE WOODBURY BANKING COMPANY,WOODBURY,,,failure,1
35312,2016-05-06,FIRST CORNERSTONE BANK,KING OF PRUSSIA,,,failure,1
9956,2016-04-29,TRUST COMPANY BANK,MEMPHIS,,,failure,1
